"filename", "language", "Markdown", "JSON", "JavaScript", "MS SQL", "Skill", "PowerShell", "PostCSS", "Python", "pip requirements", "HTML", "JavaScript JSX", "YAML", "XML", "comment", "blank", "total"
"c:\Users\Keagan\.openclaw\workspace\.openclaw\workspace-state.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Keagan\.openclaw\workspace\.vite\deps\_metadata.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Keagan\.openclaw\workspace\.vite\deps\package.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Keagan\.openclaw\workspace\AGENTS.md", "Markdown", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 70
"c:\Users\Keagan\.openclaw\workspace\HEARTBEAT.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Keagan\.openclaw\workspace\IDENTITY.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Keagan\.openclaw\workspace\SOUL.md", "Markdown", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 131
"c:\Users\Keagan\.openclaw\workspace\TOOLS.md", "Markdown", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 108
"c:\Users\Keagan\.openclaw\workspace\USER.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Keagan\.openclaw\workspace\skills\discord\SKILL.md", "Skill", 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 150
"c:\Users\Keagan\.openclaw\workspace\skills\discord\references\channels.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Keagan\.openclaw\workspace\skills\discord\scripts\discord.ps1", "PowerShell", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 2, 10, 114
"c:\Users\Keagan\.openclaw\workspace\skills\discord\scripts\temp_briefing.ps1", "PowerShell", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Keagan\.openclaw\workspace\skills\outlook-mail\SKILL.md", "Skill", 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 221
"c:\Users\Keagan\.openclaw\workspace\skills\outlook-mail\references\microsoft-docs.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Keagan\.openclaw\workspace\skills\outlook-mail\scripts\create-outlook-mail-app.ps1", "PowerShell", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 26, 121
"c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\SKILL.md", "Skill", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 147
"c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\references\schema.md", "Markdown", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 100
"c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\scripts\agents.ps1", "PowerShell", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\scripts\campaigns.ps1", "PowerShell", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58
"c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\scripts\leads.ps1", "PowerShell", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
"c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\scripts\reactions.ps1", "PowerShell", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\scripts\tasks.ps1", "PowerShell", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50
"c:\Users\Keagan\.openclaw\workspace\wysl\backend\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 9, 23, 118
"c:\Users\Keagan\.openclaw\workspace\wysl\backend\dependencies.py", "Python", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 6, 42
"c:\Users\Keagan\.openclaw\workspace\wysl\backend\env_loader.py", "Python", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 5, 14
"c:\Users\Keagan\.openclaw\workspace\wysl\backend\local_scheduler.py", "Python", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 11, 11, 73
"c:\Users\Keagan\.openclaw\workspace\wysl\backend\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 6615, 0, 0, 0, 0, 0, 1687, 852, 9154
"c:\Users\Keagan\.openclaw\workspace\wysl\backend\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 402, 0, 0, 0, 0, 0, 47, 90, 539
"c:\Users\Keagan\.openclaw\workspace\wysl\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Keagan\.openclaw\workspace\wysl\backend\scenario_engine.py", "Python", 0, 0, 0, 0, 0, 0, 0, 2160, 0, 0, 0, 0, 0, 0, 217, 2377
"c:\Users\Keagan\.openclaw\workspace\wysl\backend\stripe_manager.py", "Python", 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 3, 30, 246
