Date : 2026-06-09 22:04:17
Directory : c:\Users\Keagan\.openclaw\workspace
Total : 253 files,  69814 codes, 3072 comments, 6836 blanks, all 79722 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript JSX   |        126 |     35,099 |        797 |      3,240 |     39,136 |
| PostCSS          |         39 |     11,080 |        307 |      1,501 |     12,888 |
| Python           |          9 |      9,795 |      1,763 |      1,276 |     12,834 |
| JSON             |          6 |      8,518 |          0 |          4 |      8,522 |
| JavaScript       |         25 |      3,158 |        173 |        417 |      3,748 |
| MS SQL           |         22 |        862 |         21 |        109 |        992 |
| PowerShell       |          8 |        415 |          2 |         56 |        473 |
| Markdown         |         10 |        402 |          0 |         92 |        494 |
| Skill            |          3 |        387 |          0 |        131 |        518 |
| YAML             |          1 |         34 |          7 |          3 |         44 |
| pip requirements |          2 |         31 |          0 |          2 |         33 |
| HTML             |          1 |         28 |          2 |          4 |         34 |
| XML              |          1 |          5 |          0 |          1 |          6 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        253 |     69,814 |      3,072 |      6,836 |     79,722 |
| . (Files)                                                                                              |          6 |        277 |          0 |         72 |        349 |
| .openclaw                                                                                              |          1 |          5 |          0 |          1 |          6 |
| .vite                                                                                                  |          2 |         11 |          0 |          1 |         12 |
| .vite\deps                                                                                             |          2 |         11 |          0 |          1 |         12 |
| skills                                                                                                 |         14 |        923 |          2 |        207 |      1,132 |
| skills\discord                                                                                         |          4 |        245 |          2 |         53 |        300 |
| skills\discord (Files)                                                                                 |          1 |        116 |          0 |         34 |        150 |
| skills\discord\references                                                                              |          1 |         15 |          0 |          4 |         19 |
| skills\discord\scripts                                                                                 |          2 |        114 |          2 |         15 |        131 |
| skills\outlook-mail                                                                                    |          3 |        274 |          0 |         90 |        364 |
| skills\outlook-mail (Files)                                                                            |          1 |        162 |          0 |         59 |        221 |
| skills\outlook-mail\references                                                                         |          1 |         17 |          0 |          5 |         22 |
| skills\outlook-mail\scripts                                                                            |          1 |         95 |          0 |         26 |        121 |
| skills\supabase-api                                                                                    |          7 |        404 |          0 |         64 |        468 |
| skills\supabase-api (Files)                                                                            |          1 |        109 |          0 |         38 |        147 |
| skills\supabase-api\references                                                                         |          1 |         89 |          0 |         11 |        100 |
| skills\supabase-api\scripts                                                                            |          5 |        206 |          0 |         15 |        221 |
| wysl                                                                                                   |        230 |     68,598 |      3,070 |      6,555 |     78,223 |
| wysl (Files)                                                                                           |         14 |      8,775 |         22 |         34 |      8,831 |
| wysl\backend                                                                                           |         10 |      9,806 |      1,763 |      1,277 |     12,846 |
| wysl\sql                                                                                               |         21 |        784 |         10 |         99 |        893 |
| wysl\src                                                                                               |        185 |     49,233 |      1,275 |      5,145 |     55,653 |
| wysl\src (Files)                                                                                       |          4 |        840 |         45 |        133 |      1,018 |
| wysl\src\assets                                                                                        |          1 |          5 |          0 |          1 |          6 |
| wysl\src\components                                                                                    |         72 |      8,484 |        295 |      1,047 |      9,826 |
| wysl\src\components (Files)                                                                            |         18 |      2,197 |        154 |        320 |      2,671 |
| wysl\src\components\CampaignBuilder                                                                    |         12 |      1,291 |         37 |        146 |      1,474 |
| wysl\src\components\dashboard                                                                          |         12 |      1,130 |         30 |        135 |      1,295 |
| wysl\src\components\modals                                                                             |         29 |      3,775 |         72 |        438 |      4,285 |
| wysl\src\components\onboarding                                                                         |          1 |         91 |          2 |          8 |        101 |
| wysl\src\contexts                                                                                      |          2 |        149 |          2 |         34 |        185 |
| wysl\src\dashboard-v2                                                                                  |         27 |      2,459 |          8 |        279 |      2,746 |
| wysl\src\dashboard-v2 (Files)                                                                          |          1 |         13 |          1 |          3 |         17 |
| wysl\src\dashboard-v2\components                                                                       |         14 |        338 |          0 |         53 |        391 |
| wysl\src\dashboard-v2\components (Files)                                                               |          9 |        225 |          0 |         40 |        265 |
| wysl\src\dashboard-v2\components\Canvas                                                                |          1 |         54 |          0 |          3 |         57 |
| wysl\src\dashboard-v2\components\Menu                                                                  |          1 |         25 |          0 |          3 |         28 |
| wysl\src\dashboard-v2\components\ProfileMenu                                                           |          1 |         12 |          0 |          2 |         14 |
